Time (s),Actual Depth (ft),First Stop Depth,Time To Surface,Average PP02 (text),Fraction O2 (text),Fraction He (text),First Stop Time,Current NDL,Current Circuit Mode,Water Temp (°F),Gas Switch Needed,External PPO2,Tank 1 pressure (psi),Tank 2 pressure (psi),Tank 3 pressure (psi),Tank 4 pressure (psi),Seconds,Display Minutes (text),Display Seconds (text),Max Depth (text),Actual Time (text),AM/PM Indicator (text),Gas Mixture (text)
0,0,0,0,0.19,18,45,0,0,1,63,FALSE,TRUE,AI is off,No comms for 90s +,N/A,N/A,0,0,00,0,8:39,pm,
5,-6.4,0,0,0.21,18,45,0,0,1,63,FALSE,TRUE,AI is off,No comms for 90s +,N/A,N/A,5,0,05,6.4,8:40,pm,
10,-12.3,0,1,0.25,18,45,0,99,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,10,0,10,12.3,8:40,pm,
15,-17.5,0,1,0.27,18,45,0,99,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,15,0,15,17.5,8:40,pm,
20,-20.6,0,1,0.29,18,45,0,99,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,20,0,20,20.6,8:40,pm,
25,-24.5,0,1,0.31,18,45,0,99,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,25,0,25,24.5,8:40,pm,
30,-26.3,0,1,0.32,18,45,0,99,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,30,0,30,26.3,8:40,pm,
35,-27.6,0,1,0.33,18,45,0,99,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,35,0,35,27.6,8:40,pm,
40,-29.6,0,1,0.34,18,45,0,99,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,40,0,40,29.6,8:40,pm,
45,-32.8,0,1,0.36,18,45,0,99,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,45,0,45,32.8,8:40,pm,
50,-35.8,0,1,0.37,18,45,0,99,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,50,0,50,35.8,8:40,pm,
55,-37.2,0,2,0.38,18,45,0,88,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,55,0,55,37.2,8:40,pm,
60,-39.7,0,2,0.4,18,45,0,88,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,0,1,00,39.7,8:40,pm,
65,-41.9,0,2,0.41,18,45,0,61,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,5,1,05,41.9,8:41,pm,
70,-42.6,0,2,0.41,18,45,0,57,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,10,1,10,42.6,8:41,pm,
75,-42.4,0,2,0.41,18,45,0,57,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,15,1,15,42.6,8:41,pm,
80,-41.6,0,2,0.41,18,45,0,57,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,20,1,20,42.6,8:41,pm,
85,-42,0,2,0.41,18,45,0,60,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,25,1,25,42.6,8:41,pm,
90,-41.8,0,2,0.41,18,45,0,58,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,30,1,30,42.6,8:41,pm,
95,-39.8,0,2,0.4,18,45,0,58,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,35,1,35,42.6,8:41,pm,
100,-39.3,0,2,0.4,18,45,0,71,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,40,1,40,42.6,8:41,pm,
105,-38,0,2,0.39,18,45,0,75,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,45,1,45,42.6,8:41,pm,
110,-36.7,0,2,0.38,18,45,0,75,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,50,1,50,42.6,8:41,pm,
115,-35.2,0,2,0.37,18,45,0,97,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,55,1,55,42.6,8:41,pm,
120,-33.4,0,1,0.36,18,45,0,99,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,0,2,00,42.6,8:41,pm,
125,-31.3,0,1,0.35,18,45,0,99,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,5,2,05,42.6,8:42,pm,
130,-29.8,0,1,0.35,18,45,0,99,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,10,2,10,42.6,8:42,pm,
135,-29.1,0,1,0.34,18,45,0,99,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,15,2,15,42.6,8:42,pm,
140,-29.4,0,1,0.34,18,45,0,99,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,20,2,20,42.6,8:42,pm,
145,-31.8,0,1,0.35,18,45,0,99,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,25,2,25,42.6,8:42,pm,
150,-32.1,0,1,0.36,18,45,0,99,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,30,2,30,42.6,8:42,pm,
155,-32.1,0,1,0.36,18,45,0,99,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,35,2,35,42.6,8:42,pm,
160,-32.8,0,1,0.36,18,45,0,99,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,40,2,40,42.6,8:42,pm,
165,-34.9,0,1,0.37,18,45,0,99,1,63,TRUE,TRUE,AI is off,No comms for 90s +,N/A,N/A,45,2,45,42.6,8:42,pm,
