Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
398,20,85,2024,True,1.5,0,12/7/2025 8:39:59 PM,False,0,1,66,188.5,3813,,1.5,18,12/7/2025 9:43:27 PM,False,0,1,A3B2A90E,66,2,17,GF,20/85,1027,1027,Perdix 2
Time (sec),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,0,0,0,0.19,0.18,0.45,0,0,1,0,63,False,True,0,0,0,0,0,1.45,AI is off,No comms for 90s +,N/A,N/A,N/A,GTR and SAC are off,0,0,0
5,6.4,0,0,0.21,0.18,0.45,0,0,1,0,63,False,True,0,0,0,0,0,1.45,AI is off,No comms for 90s +,N/A,N/A,N/A,GTR and SAC are off,0,0,0
10,12.3,0,1,0.25,0.18,0.45,0,99,1,0,63,True,True,0,0,0,0,0,1.45,AI is off,No comms for 90s +,N/A,N/A,N/A,GTR and SAC are off,0,0,0
15,17.5,0,1,0.27,0.18,0.45,0,99,1,0,63,True,True,0,0,0,0,0,1.45,AI is off,No comms for 90s +,N/A,N/A,N/A,GTR and SAC are off,0,0,0
20,20.6,0,1,0.29,0.18,0.45,0,99,1,0,63,True,True,0,0,0,0,0,1.45,AI is off,No comms for 90s +,N/A,N/A,N/A,GTR and SAC are off,0,0,0
25,24.5,0,1,0.31,0.18,0.45,0,99,1,0,63,True,True,0,0,0,0,0,1.45,AI is off,No comms for 90s +,N/A,N/A,N/A,GTR and SAC are off,0,0,0
30,26.3,0,1,0.32,0.18,0.45,0,99,1,0,63,True,True,0,0,0,0,0,1.45,AI is off,No comms for 90s +,N/A,N/A,N/A,GTR and SAC are off,0,0,0
35,27.6,0,1,0.33,0.18,0.45,0,99,1,0,63,True,True,0,0,0,0,0,1.45,AI is off,No comms for 90s +,N/A,N/A,N/A,GTR and SAC are off,0,0,0
40,29.6,0,1,0.34,0.18,0.45,0,99,1,0,63,True,True,0,0,0,0,0,1.45,AI is off,No comms for 90s +,N/A,N/A,N/A,GTR and SAC are off,0,0,0
45,32.8,0,1,0.36,0.18,0.45,0,99,1,0,63,True,True,0,0,0,0,0,1.45,AI is off,No comms for 90s +,N/A,N/A,N/A,GTR and SAC are off,0,0,0
